id,origin_url,image_url,update_time,parsing_time,price,total_area,living_area,kitchen_area,room_number,floor,total_floor,housing,complex,point,state,city,district,street,house_number,ssf,izf,gzf
945,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-kievskaya-17275877.html,https://cdn.riastatic.com/photos/dom/photo/11480/1148046/114804691/114804691.jpg,2020-09-06 04:17:36.000000,2020-09-06 08:32:59.784784,30500,48.5,27.4,8,2,10,10,secondary,"",0101000020E6100000CB403EBE71833C4097BA6620CFA24840,Вінницька область,Вінниця,Київська,Сергія Зулінського (Тарногродського) вулиця,49,0,17.938478,0
946,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-tsentr-magistratskaya-pervomayskaya-ulitsa-17602400.html,https://cdn.riastatic.com/photos/dom/photo/11757/1175760/117576002/117576002.jpg,2020-09-06 04:18:44.000000,2020-09-06 08:32:59.791167,40000,72,46,8,3,2,2,secondary,"",0101000020E6100000338955D048733C404ECDE651609E4840,Вінницька область,Вінниця,Центр,Магістратська (Першотравнева) вулиця,152,0,2.947715,8.868199
947,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-podole-zodchih-ulitsa-17437970.html,https://cdn.riastatic.com/photos/dom/photo/11614/1161468/116146866/116146866.jpg,2020-09-06 04:16:34.000000,2020-09-06 08:32:59.796014,75000,95,0,12,3,9,10,secondary,"",0101000020E6100000F2FA862705703C405E293871809B4840,Вінницька область,Вінниця,Поділля,Зодчих вулиця,40,0,1.3740323,1.8835132
948,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-slavyanka-bloka-ulitsa-17108143.html,https://cdn.riastatic.com/photos/dom/photo/11524/1152426/115242680/115242680.jpg,2020-09-06 04:16:22.000000,2020-09-06 08:32:59.800733,58000,77,0,9,4,8,9,secondary,"",0101000020E6100000FD416ED0A8723C40F7724463929D4840,Вінницька область,Вінниця,Слов'янка,Блока вулиця,22,0,1.2950243,1.312534
949,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-slavyanka-dmitriya-mayborodyi-zbyishka-ulitsa-17614540.html,https://cdn.riastatic.com/photos/dom/photo/11444/1144469/114446988/114446988.jpg,2020-09-06 04:18:39.000000,2020-09-06 08:32:59.806269,36000,46,25,7.5,2,9,10,secondary,"",0101000020E610000059C2DA183B713C40EA9788B7CE9D4840,Вінницька область,Вінниця,Слов'янка,Дмитра Майбороди (Збишка) вулиця,5,0,1.5878805,0.9886465
950,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-staryiy-gorod-yakova-galchevskogo-ulitsa-16687980.html,https://cdn.riastatic.com/photos/dom/photo/10855/1085588/108558842/108558842.jpg,2020-09-06 04:18:15.000000,2020-09-06 08:32:59.812013,36000,40,18,14,1,9,10,secondary,"",0101000020E6100000C042380E8C7B3C404475DFA71F9B4840,Вінницька область,Вінниця,Старе місто,Якова Гальчевского улица,37,0,0.781744,0.15511917
951,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-slavyanka-sredniy-pereulok-15479429.html,https://cdn.riastatic.com/photos/dom/photo/9849/984994/98499412/98499412.jpg,2020-09-06 04:18:10.000000,2020-09-06 08:32:59.816663,75000,80.3,51,12,3,10,11,secondary,"",0101000020E6100000926F4118616F3C40A16052D48D9C4840,Вінницька область,Вінниця,Слов'янка,Середній провулок,2А,0,2.1038172,0.88518465
952,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-blijnee-zamoste-griboedova-ulitsa-17355415.html,https://cdn.riastatic.com/photos/dom/photo/11446/1144657/114465772/114465772.jpg,2020-09-06 04:19:42.000000,2020-09-06 08:32:59.820861,29500,33.3,17,8,1,1,9,secondary,"",0101000020E6100000BC4E3459ED793C404C101A660DA04840,Вінницька область,Вінниця,Ближнє замостя,Грибоєдова вулиця,3,0,23.377874,0.42595106
953,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-hmelnitskiy-vyistavka-zarechanskaya-ulitsa-17417440.html,https://cdn.riastatic.com/photos/dom/photo/11510/1151072/115107231/115107231.jpg,2020-09-02 14:56:16.000000,2020-09-06 08:32:59.825877,43500,88,0,0,2,4,6,secondary,"",0101000020E6100000222F10A90EFE3A4002F62C639EB74840,Хмельницька область,Хмельницький,Виставка,Зарічанська вулиця,22/2,0,0.24046147,0.6695172
954,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-kievskaya-saksaganskogo-ulitsa-17316705.html,https://cdn.riastatic.com/photos/dom/photo/11434/1143418/114341819/114341819.jpg,2020-09-06 04:16:29.000000,2020-09-06 08:32:59.830382,29950,41,0,6,2,4,5,secondary,"",0101000020E6100000C5A39E4F2E793C40F2EA1C03B29F4840,Вінницька область,Вінниця,Київська,Саксаганського вулиця,13,0,10.109285,0.5381968
955,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-tsentr-arhitektora-artyinova-ulitsa-17498770.html,https://cdn.riastatic.com/photos/dom/photo/11643/1164303/116430323/116430323.jpg,2020-09-06 04:21:14.000000,2020-09-06 08:32:59.834421,39500,50.6,30,7,2,3,4,secondary,"",0101000020E6100000191F662FDB763C40225B4C22B19D4840,Вінницька область,Вінниця,Центр,Архітектора Артинова вулиця,38,0,2.9801269,1.110798
956,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-slavyanka-pirogova-ulitsa-17382849.html,https://cdn.riastatic.com/photos/dom/photo/11615/1161584/116158492/116158492.jpg,2020-09-06 04:18:21.000000,2020-09-06 08:32:59.839679,33000,36,0,0,1,8,9,secondary,"",0101000020E6100000FEC0B057B3713C40E5B919C9799C4840,Вінницька область,Вінниця,Слов'янка,Пирогова вулиця,73а,0,1.1831695,0.9030061
957,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-blijnee-zamoste-17252594.html,https://cdn.riastatic.com/photos/dom/photo/11340/1134079/113407936/113407936.jpg,2020-09-06 04:16:12.000000,2020-09-06 08:32:59.845198,75000,70.5,36,21,2,7,12,secondary,"",0101000020E6100000B8674C778D803C4075E21703909F4840,Вінницька область,Вінниця,Ближнє замостя,Академіка Янгеля (Фрунзе) вулиця,6к,0,18.743383,0
958,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-odessa-primorskiy-armeyskaya-ulitsa-17609777.html,https://cdn.riastatic.com/photos/dom/photo/11750/1175005/117500542/117500542.jpg,2020-09-03 11:48:10.000000,2020-09-06 08:32:59.849563,46000,56.9,31,7.3,2,15,16,secondary,"",0101000020E6100000AEE70A879FBF3E40C9370376C3394740,Одеська область,Одеса,Приморський район,Армійська вулиця,15,0,0.77446306,3.2466123
959,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-vishenka-keletskaya-ulitsa-17336536.html,https://cdn.riastatic.com/photos/dom/photo/11427/1142735/114273561/114273561.jpg,2020-09-06 04:16:12.000000,2020-09-06 08:32:59.854028,63000,66,0,13,2,9,10,secondary,"",0101000020E6100000A215CE24A0643C4087FE092E569D4840,Вінницька область,Вінниця,Вишенька,Келецька вулиця,138,0,0.6604205,0.20451002
960,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-staryiy-gorod-pokryishkina-ulitsa-17032501.html,https://cdn.riastatic.com/photos/dom/photo/11307/1130714/113071479/113071479.jpg,2020-09-06 04:19:25.000000,2020-09-06 08:32:59.859540,55000,77,0,25,2,5,12,secondary,"",0101000020E6100000BD3CF8E4BC7E3C40AA775D64A79C4840,Вінницька область,Вінниця,Старе місто,Покришкіна вулиця,8,0,8.676721,0.054773934
